"Granja","Nivel","Variable","n","Media","DE","Minimo","Maximo","CV_pct"
"Granja 1","Vaca","media_CH4",142,0.0978,0.0189,0.0426,0.2371,19.3
"Granja 2","Vaca","media_CH4",78,0.06,0.0098,0.0245,0.0794,16.3
"Granja 1","Vaca","media_CO2",142,0.7333,0.1184,0.2252,1.2867,16.1
"Granja 2","Vaca","media_CO2",78,0.5091,0.1115,0.0663,0.6251,21.9
"Granja 1","Vaca","n_picos",144,2.1956,0.549,0,4,25
"Granja 2","Vaca","n_picos",78,1.4883,0.4449,0.1111,2.8,29.9
"Granja 1","Vaca","picos_por_minuto",144,0.4465,0.1108,0,0.8,24.8
"Granja 2","Vaca","picos_por_minuto",78,0.323,0.0866,0.0222,0.56,26.8
"Granja 1","Vaca","ratio_media",142,0.139,0.0219,0.105,0.2867,15.8
"Granja 2","Vaca","ratio_media",78,0.1665,0.0922,0.1083,0.6163,55.4
"Granja 1","Visita","media_CH4",3316,0.0983,0.0457,0.0218,0.3703,46.5
"Granja 2","Visita","media_CH4",2992,0.0622,0.025,0.0022,0.2017,40.1
"Granja 1","Visita","media_CO2",3316,0.7414,0.2936,0.0508,1.958,39.6
"Granja 2","Visita","media_CO2",2992,0.5341,0.2058,0.0247,1.1573,38.5
"Granja 1","Visita","n_picos",3660,2.2779,1.5523,0,7,68.1
"Granja 2","Visita","n_picos",2992,1.5434,1.2523,0,7,81.1
"Granja 1","Visita","picos_por_minuto",3660,0.4634,0.3148,0,1.4634,67.9
"Granja 2","Visita","picos_por_minuto",2992,0.3379,0.2708,0,1.4,80.1
"Granja 1","Visita","ratio_media",3316,0.137,0.0424,0.0308,0.6299,30.9
"Granja 2","Visita","ratio_media",2992,0.1481,0.1406,0.0225,1.3702,94.9
